year,Average surface temperature,Yearly Change
1940,17.241398979235043,
1941,17.55539627551282,0.3139972962777762
1942,17.397508793804274,-0.1578874817085456
1943,17.471348691117093,0.07383989731281915
1944,17.61162429290171,0.14027560178461584
1945,17.431565285981627,-0.18005900692008225
1946,17.656142147012822,0.22457686103119556
1947,17.66990004418846,0.013757897175636913
1948,17.543797342538035,-0.12610270165042436
1949,17.544215089096152,0.00041774655811721573
1950,17.455801109041882,-0.08841398005426981
1951,17.691871707563248,0.23607059852136558
1952,17.669428225516665,-0.022443482046583085
1953,17.649904369692308,-0.019523855824356673
1954,17.436852874175212,-0.2130514955170959
1955,17.532191146138036,0.09533827196282374
1956,17.17548862192564,-0.3567025242123947
1957,17.655698946718374,0.48021032479273273
1958,17.891906819777777,0.23620787305940283
1959,17.727929498467095,-0.1639773213106821
1960,17.853371081467095,0.12544158300000063
1961,17.868245535280767,0.014874453813671806
1962,17.641382023885043,-0.2268635113957238
1963,17.639816177195726,-0.0015658466893171408
1964,17.564399722642307,-0.0754164545534195
1965,17.465628529708976,-0.09877119293333081
1966,17.858912971465383,0.393284441756407
1967,17.607413236760685,-0.2514997347046979
1968,17.636081956623503,0.028668719862817937
1969,17.759134239152566,0.12305228252906275
1970,17.821158724249575,0.062024485097008863
1971,17.614225229334615,-0.20693349491495994
1972,17.673891636720942,0.059666407386327336
1973,17.87457428373846,0.20068264701751914
1974,17.584256230813676,-0.2903180529247855
1975,17.716650785328206,0.13239455451452997
1976,17.42482704654744,-0.2918237387807672
1977,17.888088833884616,0.4632617873371778
1978,17.69973791401453,-0.18835091987008568
1979,17.912917964372223,0.2131800503576926
1980,17.869420583350855,-0.04349738102136769
1981,17.918877129932053,0.04945654658119736
1982,17.845840147376496,-0.07303698255555702
1983,18.10956088920855,0.26372074183205285
1984,17.759242391458976,-0.3503184977495728
1985,17.699259166184188,-0.059983225274788055
1986,17.81795217126282,0.11869300507863301
1987,18.099411746605984,0.28145957534316324
1988,18.16562471217906,0.06621296557307588
1989,18.10130522237436,-0.06431948980469926
1990,18.375572732036325,0.2742675096619642
1991,18.031093057453845,-0.3444796745824803
1992,17.944038606008977,-0.08705445144486745
1993,17.964859345086325,0.020820739077347383
1994,18.27841485645342,0.31355551136709536
1995,18.26852721575171,-0.009887640701709444
1996,17.953404512668378,-0.31512270308333257
1997,18.215146650064103,0.26174213739572494
1998,18.63425066623718,0.41910401617307613
1999,18.37285324221154,-0.26139742402563826
2000,18.33408243909872,-0.038770803112821994
2001,18.408241892371368,0.0741594532726495
2002,18.586008076343592,0.1777661839722242
2003,18.519352832633334,-0.0666552437102581
2004,18.460512300622224,-0.058840532011110724
2005,18.521543422060684,0.0610311214384609
2006,18.5706078242641,0.04906440220341679
2007,18.67347057439188,0.10286275012778034
2008,18.51103337099487,-0.16243720339701184
2009,18.63233392882607,0.12130055783120142
2010,18.77258943547692,0.14025550665084907
2011,18.50545227855513,-0.2671371569217911
2012,18.55734704429017,0.05189476573504237
2013,18.64175930747265,0.08441226318247885
2014,18.811762032692737,0.17000272522008686
2015,18.97277220320641,0.1610101705136735
2016,19.060733393626922,0.08796119042051131
2017,18.924206655260257,-0.1365267383666655
2018,18.953047687621794,0.028841032361537344
2019,19.129961882308756,0.17691419468696168
2020,19.1141522242765,-0.01580965803225709
2021,18.953754038196582,-0.16039818607991663
2022,18.981230170581195,0.02747613238461355
2023,19.395924625957264,0.4146944553760683
2024,19.594956535191024,0.19903190923376002
2025,15.022738357366668,-4.572218177824356
